candidate_id,rank,score,capability_match,career_evidence_fit,production_experience_fit,behavioral_fit,experience_alignment,logistics_fit,recruiter_demand,honeypot_risk,disqualifier_risk,matched_evidence,concerns,disqualifier_concerns,reasoning,manual_label,manual_notes
CAND_0041669,11,0.6485,0.0885,0.8714,0.3585,0.8510,0.6667,0.4500,1.0000,0.0000,0.0000,ranking; search; evaluation; recommendation; relevance; retrieval; ab_testing,,,"Recommendation Systems Engineer with 8.0 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, offline evaluation, recommendation, relevance matching, retrieval and A/B testing-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0068811,12,0.6463,0.1578,0.9854,0.3874,0.7300,0.6667,0.7500,0.5164,0.0000,0.0000,recommendation; ranking; evaluation; search; retrieval; relevance; ab_testing,,,"Applied ML Engineer with 8.0 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, offline evaluation, search, retrieval, relevance matching and A/B testing-related systems, and the candidate is active on the platform as of 2026-05-21 and flagged open to work.",,
CAND_0049896,13,0.6432,0.0832,0.8357,0.3352,0.6818,0.9000,0.6500,1.0000,0.0000,0.0000,evaluation; recommendation; retrieval; ranking; relevance; ab_testing; search,,,"Search Engineer with 7.3 years of experience in recommendation and retrieval systems. Career history includes work on offline evaluation, recommendation, retrieval, ranking, relevance matching, A/B testing and search-related systems, and the candidate is active on the platform as of 2026-05-17 and flagged open to work. Notice period of 90 days may slow hiring.",,
CAND_0083879,14,0.6396,0.1788,0.7493,0.2346,0.7268,0.9667,0.8000,1.0000,0.0000,0.0000,ranking; retrieval; search; relevance; ab_testing; recommendation,,,"Machine Learning Engineer with 7.1 years of experience in recommendation and retrieval systems. Career history includes work on ranking, retrieval, search, relevance matching, A/B testing and recommendation-related systems, and the candidate is active on the platform as of 2026-04-17 and flagged open to work.",,
CAND_0011687,15,0.6394,0.1180,0.6921,0.3898,0.8667,0.7333,0.6500,1.0000,0.0000,0.0000,recommendation; ranking; ab_testing; evaluation; retrieval; search,,,"Senior NLP Engineer with 7.8 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, A/B testing, offline evaluation, retrieval and search-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0047721,16,0.6347,0.2080,0.8071,0.3585,0.5698,1.0000,0.6500,0.9293,0.0000,0.0000,recommendation; ranking; search; relevance; ab_testing; retrieval,,,"Senior Data Scientist with 7.0 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, search, relevance matching, A/B testing and retrieval-related systems, and recruiter response rate is 49%. Notice period of 90 days may slow hiring.",,
CAND_0046525,17,0.6345,0.2450,0.7854,0.1823,0.8753,0.7000,0.6500,1.0000,0.0000,0.0000,ranking; search; ab_testing; evaluation; retrieval,,,"Senior Machine Learning Engineer with 6.1 years of experience in information retrieval and ranking systems. Career history includes work on ranking, search, A/B testing, offline evaluation and retrieval-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0052682,18,0.6329,0.1557,0.7857,0.3352,0.8160,0.8667,0.4000,0.9630,0.0000,0.0000,recommendation; evaluation; ranking; relevance; ab_testing; retrieval,,,"NLP Engineer with 6.6 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, offline evaluation, ranking, relevance matching, A/B testing and retrieval-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0026532,19,0.6310,0.2092,0.7996,0.3352,0.6730,0.9600,0.7250,0.7374,0.0000,0.0000,search; recommendation; retrieval; relevance; ranking; ab_testing,,,"Recommendation Systems Engineer with 4.8 years of experience in recommendation and retrieval systems. Career history includes work on search, recommendation, retrieval, relevance matching, ranking and A/B testing-related systems, and the candidate is active on the platform as of 2026-03-28 and flagged open to work. Notice period of 90 days may slow hiring.",,
CAND_0031593,20,0.6299,0.0782,0.8714,0.3585,0.7555,0.7333,0.4000,0.9815,0.0000,0.0000,ranking; search; evaluation; recommendation; relevance; retrieval; ab_testing,,,"Search Engineer with 7.8 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, offline evaluation, recommendation, relevance matching, retrieval and A/B testing-related systems, and the candidate is active on the platform as of 2026-03-19 and flagged open to work. Notice period of 90 days may slow hiring.",,
CAND_0008425,21,0.6263,0.1308,0.8286,0.4367,0.7727,0.7333,0.2000,1.0000,0.0000,0.0000,search; ranking; recommendation; retrieval; evaluation; ab_testing,,,"Senior NLP Engineer with 7.8 years of experience in recommendation and retrieval systems. Career history includes work on search, ranking, recommendation, retrieval, offline evaluation and A/B testing-related systems, and the candidate is active on the platform as of 2026-04-25 and flagged open to work. Notice period of 90 days may slow hiring.",,
CAND_0046064,22,0.6257,0.1371,0.8286,0.3898,0.7738,0.3667,0.6500,1.0000,0.0000,0.0000,ranking; evaluation; recommendation; retrieval; search; ab_testing,,,"Senior NLP Engineer with 8.9 years of experience in recommendation and retrieval systems. Career history includes work on ranking, offline evaluation, recommendation, retrieval, search and A/B testing-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0060054,23,0.6205,0.0989,0.8286,0.3585,0.6532,0.8000,0.8500,0.6932,0.0000,0.0000,search; recommendation; ranking; retrieval; relevance; ab_testing,,,"AI Engineer with 6.4 years of experience in recommendation and retrieval systems. Career history includes work on search, recommendation, ranking, retrieval, relevance matching and A/B testing-related systems, and the candidate maintains a strong recruiter response rate (86%).",,
CAND_0075249,24,0.6184,0.1770,0.7996,0.3352,0.7680,0.7333,0.5500,0.8333,0.0000,0.0000,recommendation; search; retrieval; ranking; relevance; ab_testing,,,"Applied ML Engineer with 6.2 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, search, retrieval, ranking, relevance matching and A/B testing-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0018499,25,0.6154,0.1119,0.6282,0.3665,0.7762,0.9333,0.7500,0.8633,0.0000,0.0000,ranking; evaluation; retrieval; search; ab_testing,,,"Senior Machine Learning Engineer with 7.2 years of experience in recommendation and retrieval systems. Career history includes work on ranking, offline evaluation, retrieval, search and A/B testing-related systems, and the candidate is active on the platform as of 2026-05-13 and flagged open to work.",,
CAND_0091909,26,0.6136,0.2113,0.6643,0.3585,0.6518,0.9667,0.8250,0.7975,0.0000,0.0000,recommendation; ranking; relevance; ab_testing; retrieval,,,"Machine Learning Engineer with 6.9 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, relevance matching, A/B testing and retrieval-related systems, and the candidate is active on the platform as of 2026-03-18 and flagged open to work.",,
CAND_0005649,27,0.6108,0.0788,0.9211,0.2346,0.7553,0.8667,0.4750,0.7134,0.0000,0.0000,search; evaluation; ranking; retrieval; relevance; ab_testing; recommendation,,,"Senior Data Scientist with 7.4 years of experience in recommendation and retrieval systems. Career history includes work on search, offline evaluation, ranking, retrieval, relevance matching, A/B testing and recommendation-related systems, and the candidate is active on the platform as of 2026-04-14 and flagged open to work. Notice period of 90 days may slow hiring.",,
CAND_0065878,28,0.6105,0.1725,0.8425,0.3585,0.6212,0.7333,0.6500,0.7819,0.0000,0.0000,ranking; search; recommendation; retrieval; relevance; ab_testing,,,"Senior Data Scientist with 7.8 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, recommendation, retrieval, relevance matching and A/B testing-related systems, and the candidate is active on the platform as of 2026-03-23 and flagged open to work.",,
CAND_0006557,29,0.6084,0.2097,0.7011,0.3585,0.7057,0.7000,0.6000,1.0000,0.0000,0.0000,ranking; search; recommendation; relevance; ab_testing; retrieval,,,"NLP Engineer with 7.9 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, recommendation, relevance matching, A/B testing and retrieval-related systems, and the candidate is active on the platform as of 2026-04-10 and flagged open to work. Notice period of 120 days may slow hiring.",,
CAND_0086151,30,0.6082,0.2185,0.8286,0.3585,0.6142,0.7667,0.3500,1.0000,0.0000,0.0000,ranking; search; recommendation; relevance; ab_testing; retrieval,,,"Recommendation Systems Engineer with 7.7 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, recommendation, relevance matching, A/B testing and retrieval-related systems, and the candidate is active on the platform as of 2026-03-23 and flagged open to work. Notice period of 120 days may slow hiring.",,
CAND_0091534,31,0.6059,0.0599,0.8996,0.1128,0.6963,0.5000,0.9250,1.0000,0.0000,0.0000,ranking; search; evaluation; retrieval; relevance; recommendation; ab_testing,,,"AI Engineer with 16.6 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, offline evaluation, retrieval, relevance matching, recommendation and A/B testing-related systems, and the candidate maintains a strong recruiter response rate (84%).",,
CAND_0098846,32,0.6044,0.0563,0.8143,0.1416,0.7753,0.8000,0.7500,0.8918,0.0000,0.0000,ranking; search; evaluation; retrieval; recommendation; ab_testing; relevance,,,"AI Engineer with 7.6 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, offline evaluation, retrieval, recommendation, A/B testing and relevance matching-related systems, and the candidate is active on the platform as of 2026-04-23 and flagged open to work.",,
CAND_0064326,33,0.6036,0.0853,0.8071,0.2057,0.9080,0.8000,0.3750,0.8505,0.0000,0.0000,ranking; search; evaluation; relevance; ab_testing; retrieval; recommendation,,,"Search Engineer with 7.6 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, offline evaluation, relevance matching, A/B testing, retrieval and recommendation-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0071974,34,0.6007,0.1242,0.6643,0.5715,0.7672,0.7333,0.3000,0.8249,0.0000,0.0000,recommendation; ranking; retrieval; ab_testing; search,,,"Senior AI Engineer with 7.8 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, retrieval, A/B testing and search-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0007412,35,0.5993,0.0528,0.9071,0.2057,0.8487,0.8667,0.5500,1.0000,0.0000,0.2000,evaluation; ranking; search; retrieval; relevance; ab_testing; recommendation,,3 of 5 roles under 18 months — possible title-chasing pattern,"Applied ML Engineer with 7.4 years of experience in recommendation and retrieval systems. Career history includes work on offline evaluation, ranking, search, retrieval, relevance matching, A/B testing and recommendation-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. 3 of 5 roles under 18 months — possible title-chasing pattern.",,
CAND_0039383,36,0.5992,0.1803,0.7782,0.1163,0.7490,0.9667,0.4750,1.0000,0.0000,0.0000,ranking; search; retrieval; relevance; ab_testing; recommendation,,,"Applied ML Engineer with 7.1 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, retrieval, relevance matching, A/B testing and recommendation-related systems, and the candidate is active on the platform as of 2026-03-19 and flagged open to work. Notice period of 90 days may slow hiring.",,
CAND_0011432,37,0.5982,0.1630,0.7643,0.2057,0.7375,0.8000,0.6250,0.9074,0.0000,0.0000,ranking; evaluation; relevance; ab_testing; retrieval; recommendation,,,"Senior Data Scientist with 7.6 years of experience in recommendation and retrieval systems. Career history includes work on ranking, offline evaluation, relevance matching, A/B testing, retrieval and recommendation-related systems, and the candidate is active on the platform as of 2026-03-16 and flagged open to work.",,
CAND_0055992,38,0.5960,0.2062,0.8854,0.3585,0.7710,0.5000,0.6000,1.0000,0.0000,0.2000,evaluation; search; recommendation; ranking; retrieval; relevance; ab_testing,,3 of 4 roles under 18 months — possible title-chasing pattern,"AI Engineer with 16.9 years of experience in recommendation and retrieval systems. Career history includes work on offline evaluation, search, recommendation, ranking, retrieval, relevance matching and A/B testing-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. 3 of 4 roles under 18 months — possible title-chasing pattern.",,
CAND_0010685,39,0.5929,0.0867,0.7782,0.2346,0.7115,0.9000,0.4000,1.0000,0.0000,0.0000,ranking; search; retrieval; relevance; ab_testing; recommendation,,,"NLP Engineer with 6.7 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, retrieval, relevance matching, A/B testing and recommendation-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0061257,40,0.5926,0.1337,0.6643,0.3351,0.7847,0.6667,0.8000,0.7626,0.0000,0.0000,ranking; search; evaluation; relevance; retrieval,,,"Staff Machine Learning Engineer with 8.0 years of experience in information retrieval and ranking systems. Career history includes work on ranking, search, offline evaluation, relevance matching and retrieval-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0099401,41,0.5924,0.0744,0.8011,0.3874,0.6060,0.7667,0.6500,0.7446,0.0000,0.0000,recommendation; ranking; search; relevance; ab_testing; retrieval,,,"NLP Engineer with 7.7 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, search, relevance matching, A/B testing and retrieval-related systems, and recruiter response rate is 42%. Notice period of 90 days may slow hiring.",,
CAND_0017960,42,0.5921,0.0750,0.7921,0.2057,0.7420,0.7667,0.8250,0.7072,0.0000,0.0000,ranking; evaluation; retrieval; search; relevance; ab_testing; recommendation,,,"Recommendation Systems Engineer with 7.7 years of experience in recommendation and retrieval systems. Career history includes work on ranking, offline evaluation, retrieval, search, relevance matching, A/B testing and recommendation-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0030953,43,0.5812,0.0740,0.8854,0.3585,0.6258,0.7333,0.6250,1.0000,0.0000,0.2000,ranking; recommendation; search; evaluation; retrieval; relevance; ab_testing,,3 of 5 roles under 18 months — possible title-chasing pattern,"Search Engineer with 7.8 years of experience in recommendation and retrieval systems. Career history includes work on ranking, recommendation, search, offline evaluation, retrieval, relevance matching and A/B testing-related systems, and recruiter response rate is 63%. 3 of 5 roles under 18 months — possible title-chasing pattern.",,
CAND_0042100,44,0.5771,0.1929,0.6643,0.2057,0.7757,0.9000,0.5000,0.8704,0.0000,0.0000,ranking; search; relevance; ab_testing; recommendation,,,"Machine Learning Engineer with 7.3 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, relevance matching, A/B testing and recommendation-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. Notice period of 90 days may slow hiring.",,
CAND_0044883,45,0.5746,0.0841,0.9071,0.2346,0.7267,0.7667,0.5000,1.0000,0.0000,0.2000,evaluation; search; ranking; retrieval; relevance; ab_testing; recommendation,,3 of 4 roles under 18 months — possible title-chasing pattern,"AI Engineer with 6.3 years of experience in recommendation and retrieval systems. Career history includes work on offline evaluation, search, ranking, retrieval, relevance matching, A/B testing and recommendation-related systems, and the candidate maintains a strong recruiter response rate (84%). 3 of 4 roles under 18 months — possible title-chasing pattern.",,
CAND_0087630,46,0.5728,0.1619,0.4429,0.3352,0.6385,0.9333,0.9250,1.0000,0.0000,0.0000,recommendation; ranking; relevance; ab_testing,,,"AI Engineer with 7.2 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, relevance matching and A/B testing-related systems, and recruiter response rate is 45%.",,
CAND_0083307,47,0.5720,0.0686,0.8857,0.1128,0.7188,0.7333,0.4000,0.9087,0.0000,0.0000,evaluation; ranking; search; retrieval; relevance; recommendation; ab_testing,,,"Search Engineer with 7.8 years of experience in recommendation and retrieval systems. Career history includes work on offline evaluation, ranking, search, retrieval, relevance matching, recommendation and A/B testing-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. Notice period of 120 days may slow hiring.",,
CAND_0050454,48,0.5684,0.0691,0.6782,0.1128,0.7565,0.9333,0.6750,0.8955,0.0000,0.0000,search; ranking; retrieval; relevance; recommendation,,,"AI Engineer with 6.8 years of experience in recommendation and retrieval systems. Career history includes work on search, ranking, retrieval, relevance matching and recommendation-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0018722,49,0.5673,0.0685,0.7568,0.1128,0.8500,0.8667,0.2500,0.9630,0.0000,0.0000,search; ranking; retrieval; relevance; recommendation; ab_testing,,,"Recommendation Systems Engineer with 6.6 years of experience in recommendation and retrieval systems. Career history includes work on search, ranking, retrieval, relevance matching, recommendation and A/B testing-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. Notice period of 90 days may slow hiring.",,
CAND_0062247,50,0.5667,0.0796,0.6782,0.1128,0.8303,0.9000,0.6000,0.8333,0.0000,0.0000,search; ranking; retrieval; relevance; recommendation,,,"AI Engineer with 7.3 years of experience in recommendation and retrieval systems. Career history includes work on search, ranking, retrieval, relevance matching and recommendation-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0044222,51,0.5622,0.1727,0.6782,0.1163,0.7490,0.7667,0.5500,1.0000,0.0000,0.0000,search; ranking; retrieval; relevance; ab_testing; recommendation,,,"AI Engineer with 7.7 years of experience in recommendation and retrieval systems. Career history includes work on search, ranking, retrieval, relevance matching, A/B testing and recommendation-related systems, and the candidate is active on the platform as of 2026-05-15 and flagged open to work.",,
CAND_0088025,52,0.5618,0.1237,0.6854,0.2057,0.8693,0.4667,0.4500,1.0000,0.0000,0.0000,recommendation; ranking; ab_testing; search; retrieval,,,"Staff Machine Learning Engineer with 8.6 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, A/B testing, search and retrieval-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. Notice period of 90 days may slow hiring.",,
CAND_0033179,53,0.5602,0.1446,0.4714,0.1183,0.8362,0.9667,0.8500,0.9137,0.0000,0.0000,recommendation; ranking; relevance; retrieval; search,,,"AI Research Engineer with 6.9 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, relevance matching, retrieval and search-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0096142,54,0.5597,0.0906,0.6307,0.3585,0.8450,0.3333,0.4750,1.0000,0.0000,0.0000,ranking; recommendation; relevance; ab_testing; retrieval; search,,,"Applied ML Engineer with 5.0 years of experience in recommendation and retrieval systems. Career history includes work on ranking, recommendation, relevance matching, A/B testing, retrieval and search-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. Notice period of 120 days may slow hiring.",,
CAND_0014440,55,0.5578,0.1517,0.5854,0.1416,0.8082,0.8000,0.6250,0.9564,0.0000,0.0000,ranking; search; retrieval; recommendation; ab_testing; relevance,,,"Recommendation Systems Engineer with 6.4 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, retrieval, recommendation, A/B testing and relevance matching-related systems, and the candidate is active on the platform as of 2026-05-10 and flagged open to work.",,
CAND_0007411,56,0.5532,0.2297,0.7921,0.3898,0.2747,0.6667,0.8500,0.7222,0.0000,0.0000,recommendation; ranking; ab_testing; evaluation; retrieval; search,,,"Senior Machine Learning Engineer with 8.0 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, A/B testing, offline evaluation, retrieval and search-related systems, and recruiter response rate is low (12%).",,
CAND_0045250,57,0.5516,0.1914,0.6493,0.2346,0.6653,0.8667,0.4750,0.8505,0.0000,0.0000,ranking; retrieval; search; relevance; ab_testing; recommendation,,,"Applied ML Engineer with 6.6 years of experience in recommendation and retrieval systems. Career history includes work on ranking, retrieval, search, relevance matching, A/B testing and recommendation-related systems, and the candidate maintains a strong recruiter response rate (74%).",,
CAND_0040117,58,0.5512,0.1564,0.8582,0.3352,0.7262,0.8333,0.6500,1.0000,0.2500,0.0000,recommendation; evaluation; ranking; relevance; ab_testing; retrieval; search,skill duration looks too high for total experience,,"Recommendation Systems Engineer with 6.5 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, offline evaluation, ranking, relevance matching, A/B testing, retrieval and search-related systems, and the candidate is active on the platform as of 2026-03-17 and flagged open to work. Skill duration looks too high for total experience.",,
CAND_0070398,59,0.5486,0.0709,0.7643,0.1163,0.6958,0.9333,0.6000,0.6506,0.0000,0.0000,search; ranking; retrieval; relevance; ab_testing; recommendation,,,"Machine Learning Engineer with 7.2 years of experience in recommendation and retrieval systems. Career history includes work on search, ranking, retrieval, relevance matching, A/B testing and recommendation-related systems, and the candidate is active on the platform as of 2026-04-14 and flagged open to work. Notice period of 120 days may slow hiring.",,
CAND_0092278,60,0.5480,0.1148,0.8286,0.3641,0.2985,0.9333,0.6000,0.6852,0.0000,0.0000,recommendation; ranking; evaluation; ab_testing; retrieval; search,,,"Senior NLP Engineer with 6.8 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, offline evaluation, A/B testing, retrieval and search-related systems, and recruiter response rate is low (7%). Notice period of 90 days may slow hiring.",,
CAND_0043860,61,0.5479,0.1509,0.4214,0.1183,0.9193,0.7000,0.8500,1.0000,0.0000,0.0000,recommendation; ranking; relevance; retrieval,,,"Junior ML Engineer with 6.1 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, ranking, relevance matching and retrieval-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0010770,62,0.5476,0.0782,0.6643,0.2057,0.8548,0.5000,0.6000,0.8172,0.0000,0.0000,ranking; search; relevance; ab_testing; retrieval; recommendation,,,"Recommendation Systems Engineer with 15.2 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, relevance matching, A/B testing, retrieval and recommendation-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0069905,63,0.5474,0.0557,0.7293,0.0894,0.7970,0.8667,0.4000,0.8505,0.0000,0.0000,search; evaluation; retrieval; relevance; recommendation; ab_testing; ranking,,,"Applied ML Engineer with 6.6 years of experience in recommendation and retrieval systems. Career history includes work on search, offline evaluation, retrieval, relevance matching, recommendation, A/B testing and ranking-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. Notice period of 90 days may slow hiring.",,
CAND_0052335,64,0.5470,0.0630,0.7282,0.1128,0.7427,0.8000,0.6000,0.7757,0.0000,0.0000,ranking; search; evaluation; retrieval; recommendation; ab_testing; relevance,,,"Applied ML Engineer with 6.4 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, offline evaluation, retrieval, recommendation, A/B testing and relevance matching-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity.",,
CAND_0043228,65,0.5466,0.1950,0.5782,0.1416,0.6517,0.9333,0.7250,0.8910,0.0000,0.0000,ranking; search; retrieval; relevance; recommendation,,,"Applied ML Engineer with 6.8 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, retrieval, relevance matching and recommendation-related systems, and recruiter response rate is 41%.",,
CAND_0037566,66,0.5460,0.0571,0.4925,0.0894,0.7218,0.9667,0.9250,1.0000,0.0000,0.0000,evaluation; retrieval; recommendation; ranking; search,,,"Machine Learning Engineer with 6.9 years of experience in recommendation and retrieval systems. Career history includes work on offline evaluation, retrieval, recommendation, ranking and search-related systems, and the candidate is active on the platform as of 2026-04-20 and flagged open to work.",,
CAND_0061265,67,0.5398,0.0801,0.5782,0.1416,0.7755,0.8667,0.4750,1.0000,0.0000,0.0000,search; ranking; retrieval; relevance; recommendation,,,"Recommendation Systems Engineer with 6.6 years of experience in recommendation and retrieval systems. Career history includes work on search, ranking, retrieval, relevance matching and recommendation-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. Notice period of 120 days may slow hiring.",,
CAND_0070202,68,0.5392,0.1669,0.7425,0.3585,0.7098,0.3667,0.2000,0.9003,0.0000,0.0000,ranking; search; recommendation; retrieval; relevance; ab_testing,,,"Machine Learning Engineer with 5.1 years of experience in recommendation and retrieval systems. Career history includes work on ranking, search, recommendation, retrieval, relevance matching and A/B testing-related systems, and recruiter response rate is 60%. Notice period of 90 days may slow hiring.",,
CAND_0064904,69,0.5381,0.1824,0.7707,0.3641,0.7312,0.9800,0.5250,0.9533,0.2500,0.0000,recommendation; retrieval; search; ranking; relevance; ab_testing,skill duration looks too high for total experience,,"AI Engineer with 4.9 years of experience in recommendation and retrieval systems. Career history includes work on recommendation, retrieval, search, ranking, relevance matching and A/B testing-related systems, and the candidate maintains a strong recruiter response rate and recent platform activity. Skill duration looks too high for total experience.",,
